Year,SGPE_Marion,NGPE_Marion,SGPE_Gough,SGPE_BirdIsland,NGPE_BirdIsland
2000,,0.261363636,,0.391,0.436
2001,0.566433566,,,0.633,0.672
2002,0.383740762,0.410958904,,0.505,0.494
2003,0.517289073,0.371134021,,0.468,0.757
2004,0.327716933,0.333333333,,0.646,0.695
2005,0.498360656,0.567164179,,0.574,0.553
2006,0.422206506,0.328,,0.651,0.439
2007,0.383740762,0.236641221,,0.466,0.705
2008,0.608099282,0.356060606,,0.551,0.676
2009,0.393281654,0.392592593,,0.108,0.346
2010,0.520940906,0.466666667,,0.344,0.566
2011,0.29760666,0.424,0.795180723,0.227,0.49
2012,0.491071429,0.340659341,0.644578313,0.438,0.424
2013,0.49842072,0.536363636,0.64,0.044,0.45
2014,0.285276074,0.571428571,0.30075188,0.714,0.632
2015,0.434219986,0.747572816,0.639705882,0.205,0.506
2016,0.343803056,0.543859649,0.54248366,0.222,0.262
2017,0.335447051,0.634328358,0.737113402,0.242,0.588
2018,0.536570743,0.728,0.760736196,0.263,0.641
2019,0.188302425,0.586206897,0.540697674,0.313,0.371
2020,0.293664384,0.720930233,0.556097561,0.358,0.486
2021,0.287619048,0.469230769,0.378378378,0.146,0.669
2022,,0.495867769,0.322751323,0.183,0.502
2023,0.470542027,0.445859873,0.594936709,0.63,0.467
